"key";"de";"en";"de_f";"it";"es"
"TGDS_0017_CHOICE1";"Stimme ganz und gar nicht zu";"Completely disagree";"Stimme ganz und gar nicht zu";"Completely disagree";"Completely disagree"
"TGDS_0017_CHOICE2";"Stimme nicht zu";"Strongly disagree";"Stimme nicht zu";"Strongly disagree";"Strongly disagree"
"TGDS_0017_CHOICE3";"Stimme eher nicht zu";"Disagree";"Stimme eher nicht zu";"Disagree";"Disagree"
"TGDS_0017_CHOICE4";"Weder noch";"Neither agree, nor disagree";"Weder noch";"Neither agree, nor disagree";"Neither agree, nor disagree"
"TGDS_0017_CHOICE5";"Stimme eher zu";"Agree";"Stimme eher zu";"Agree";"Agree"
"TGDS_0017_CHOICE6";"Stimme zu";"Strongly agree";"Stimme zu";"Strongly agree";"Strongly agree"
"TGDS_0017_CHOICE7";"Stimme voll und ganz zu";"Completely agree";"Stimme voll und ganz zu";"Completely agree";"Completely agree"
"TGDS_0017_PROMPT";"Manchmal habe ich das Gefühl einfach tanzen zu müssen.";"Sometimes I feel like I just have to dance.";"Manchmal habe ich das Gefühl einfach tanzen zu müssen.";"Sometimes I feel like I just have to dance.";"Sometimes I feel like I just have to dance."
"TGDS_0018_CHOICE1";"0";"0 years";"0";"0 years";"0 years"
"TGDS_0018_CHOICE2";"1";"1 year";"1";"1 year";"1 year"
"TGDS_0018_CHOICE3";"2";"2 years";"2";"2 years";"2 years"
"TGDS_0018_CHOICE4";"3";"3 years";"3";"3 years";"3 years"
"TGDS_0018_CHOICE5";"4-5";"4-5 years";"4-5";"4-5 years";"4-5 years"
"TGDS_0018_CHOICE6";"6-9";"6-9 years";"6-9";"6-9 years";"6-9 years"
"TGDS_0018_CHOICE7";"10 oder mehr";"10 or more years";"10 oder mehr";"10 or more years";"10 or more years"
"TGDS_0018_PROMPT";"Ich habe _ Jahre wöchentlich Tanzunterricht erhalten.";"I have taken regular dance classes at least once a week
for:";"Ich habe _ Jahre wöchentlich Tanzunterricht erhalten.";"I have taken regular dance classes at least once a week
for:";"I have taken regular dance classes at least once a week
for:"
"TGDS_0019_CHOICE1";"Keine vorhanden";"None at all";"Keine vorhanden";"None at all";"None at all"
"TGDS_0019_CHOICE2";"Anfänger*in";"Beginner";"Anfänger*in";"Beginner";"Beginner"
"TGDS_0019_CHOICE3";"Mittel";"Intermediate";"Mittel";"Intermediate";"Intermediate"
"TGDS_0019_CHOICE4";"Fortgeschritten";"Advanced";"Fortgeschritten";"Advanced";"Advanced"
"TGDS_0019_CHOICE5";"Professionell";"Professional";"Professionell";"Professional";"Professional"
"TGDS_0019_PROMPT";"Ich würde meine Erfahrung mit Tanzen wie folgt einordnen:";"I would classify my level of experience with dancing as:";"Ich würde meine Erfahrung mit Tanzen wie folgt einordnen:";"I would classify my level of experience with dancing as:";"I would classify my level of experience with dancing as:"
"TGDS_0020_CHOICE1";"0 Jahre";"0 years";"0 Jahre";"0 years";"0 years"
"TGDS_0020_CHOICE2";"0,5 Jahre";"0.5 years";"0,5 Jahre";"0.5 years";"0.5 years"
"TGDS_0020_CHOICE3";"1 Jahr";"1 year";"1 Jahr";"1 year";"1 year"
"TGDS_0020_CHOICE4";"2 Jahre";"2 years";"2 Jahre";"2 years";"2 years"
"TGDS_0020_CHOICE5";"3 Jahre";"3 years";"3 Jahre";"3 years";"3 years"
"TGDS_0020_CHOICE6";"4-6 Jahre";"4-6 years";"4-6 Jahre";"4-6 years";"4-6 years"
"TGDS_0020_CHOICE7";"7 oder mehr Jahre";"7 or more years";"7 oder mehr Jahre";"7 or more years";"7 or more years"
"TGDS_0020_PROMPT";"Ich hatte formales Training für einen bestimmten Tanzstil für:";"I have had formal training in any dance style for:";"Ich hatte formales Training für einen bestimmten Tanzstil für:";"I have had formal training in any dance style for:";"I have had formal training in any dance style for:"
"TGDS_0021_CHOICE1";"Stimme ganz und gar nicht zu";"Completely disagree";"Stimme ganz und gar nicht zu";"Completely disagree";"Completely disagree"
"TGDS_0021_CHOICE2";"Stimme nicht zu";"Strongly disagree";"Stimme nicht zu";"Strongly disagree";"Strongly disagree"
"TGDS_0021_CHOICE3";"Stimme eher nicht zu";"Disagree";"Stimme eher nicht zu";"Disagree";"Disagree"
"TGDS_0021_CHOICE4";"Weder noch";"Neither agree, nor disagree";"Weder noch";"Neither agree, nor disagree";"Neither agree, nor disagree"
"TGDS_0021_CHOICE5";"Stimme eher zu";"Agree";"Stimme eher zu";"Agree";"Agree"
"TGDS_0021_CHOICE6";"Stimme zu";"Strongly agree";"Stimme zu";"Strongly agree";"Strongly agree"
"TGDS_0021_CHOICE7";"Stimme voll und ganz zu";"Completely agree";"Stimme voll und ganz zu";"Completely agree";"Completely agree"
"TGDS_0021_PROMPT";"Ich mag es Leuten beim Tanzen zuzugucken.";"I like watching people dance.";"Ich mag es Leuten beim Tanzen zuzugucken.";"I like watching people dance.";"I like watching people dance."
"TGDS_0022_CHOICE1";"Stimme ganz und gar nicht zu";"Completely disagree";"Stimme ganz und gar nicht zu";"Completely disagree";"Completely disagree"
"TGDS_0022_CHOICE2";"Stimme nicht zu";"Strongly disagree";"Stimme nicht zu";"Strongly disagree";"Strongly disagree"
"TGDS_0022_CHOICE3";"Stimme eher nicht zu";"Disagree";"Stimme eher nicht zu";"Disagree";"Disagree"
"TGDS_0022_CHOICE4";"Weder noch";"Neither agree, nor disagree";"Weder noch";"Neither agree, nor disagree";"Neither agree, nor disagree"
"TGDS_0022_CHOICE5";"Stimme eher zu";"Agree";"Stimme eher zu";"Agree";"Agree"
"TGDS_0022_CHOICE6";"Stimme zu";"Strongly agree";"Stimme zu";"Strongly agree";"Strongly agree"
"TGDS_0022_CHOICE7";"Stimme voll und ganz zu";"Completely agree";"Stimme voll und ganz zu";"Completely agree";"Completely agree"
"TGDS_0022_PROMPT";"Wenn ich die Wahl hätte, würde ich mir lieber ein Theaterstück als eine Tanzaufführung angucken.";"If I had to choose, I’d rather watch a theater play than a dance performance.";"Wenn ich die Wahl hätte, würde ich mir lieber ein Theaterstück als eine Tanzaufführung angucken.";"If I had to choose, I’d rather watch a theater play than a dance performance.";"If I had to choose, I’d rather watch a theater play than a dance performance."
"TGDS_0023_CHOICE1";"So gut wie nie";"Almost never";"So gut wie nie";"Almost never";"Almost never"
"TGDS_0023_CHOICE2";"Einmal im Jahr";"Once a year";"Einmal im Jahr";"Once a year";"Once a year"
"TGDS_0023_CHOICE3";"Alle paar Monate";"Every few months";"Alle paar Monate";"Every few months";"Every few months"
"TGDS_0023_CHOICE4";"Einmal im Monat";"Once a month";"Einmal im Monat";"Once a month";"Once a month"
